id,category,question,answer
3993,Subscription,How long does it take to complete track?,You can request track from the help center anytime.
3994,Shipping,Where can I view my tracking ID details?,The process for resubmit usually takes 2–3 business days.
3995,Returns,Why is my request not updated?,"To request your request, go to your dashboard and follow the instructions."
3996,Security,What should I do if my account is delayed?,You can request verify from the help center anytime.
3997,Shipping,How do I get support for tracking ID issues?,"If your tracking ID is delayed, please contact support."
3998,Orders,How can I check the status of my support ticket?,There is no additional charge for check.
3999,Delivery,Why is my payment not updated?,Please allow some time for your payment to update.
4000,Account,What is the process for verify?,You will receive notifications regarding your shipment status.
4001,Refunds,How can I check my invoice?,You can request check from the help center anytime.
4002,Subscription,What is the process for check?,Your package details can be found in your account section.
4003,Tracking,Is there a charge for resubmit?,The process for resubmit usually takes 2–3 business days.
4004,Returns,What is the process for check?,There is no additional charge for check.
4005,Offers,Why is my support ticket not updated?,You can request modify from the help center anytime.
4006,Refunds,How do I get support for order issues?,"To cancel your order, go to your dashboard and follow the instructions."
4007,Cancellation,What is the process for modify?,You will receive notifications regarding your payment status.
4008,Account,Can I request reschedule for my support ticket?,Please allow some time for your support ticket to update.
